RainTomorrow,MaxTemp,Humidity3pm
No,28.4,45.0
No,23.5,41.0
Yes,25.3,95.0
No,16.6,52.0
No,21.0,63.0
No,33.4,62.0
Yes,20.0,72.0
No,42.9,11.0
No,21.8,57.0
No,11.6,33.0
No,23.5,29.0
No,19.3,41.0
No,18.0,46.0
No,23.5,38.0
No,20.2,89.0
No,26.3,61.0
No,14.6,77.0
Yes,24.1,22.0
Yes,31.4,93.0
No,19.3,50.0
Yes,22.3,80.0
No,34.9,13.0
Yes,17.8,33.0
Yes,32.7,74.0
No,26.1,52.0
No,12.3,79.0
No,21.4,57.0
No,19.0,31.0
No,27.3,67.0
No,37.6,35.0
No,38.0,21.0
No,11.5,62.0
No,20.1,69.0
No,18.9,41.0
No,32.5,61.0
Yes,22.2,31.0
Yes,20.3,84.0
No,24.2,50.0
Yes,27.8,93.0
Yes,28.1,69.0
No,37.7,21.0
No,16.2,54.0
No,27.3,21.0
No,16.1,67.0
No,21.0,48.0
No,23.6,74.0
No,20.0,75.0
No,25.4,23.0
Yes,14.5,76.0
No,41.5,16.0
No,17.2,75.0
No,18.8,63.0
No,17.0,43.0
Yes,28.7,48.0
No,22.6,73.0
No,14.0,82.0
No,33.0,68.0
Yes,15.6,82.0
No,18.3,34.0
No,19.6,57.0
No,33.2,17.0
No,14.4,79.0
No,16.9,56.0
Yes,15.0,77.0
No,14.2,83.0
Yes,25.4,80.0
No,24.7,64.0
No,32.7,60.0
No,37.0,17.0
No,27.1,52.0
No,37.0,18.0
Yes,26.6,93.0
No,24.5,56.0
No,25.4,37.0
No,26.3,73.0
No,12.6,42.0
No,20.5,69.0
No,38.2,16.0
No,18.0,66.0
No,13.9,46.0
Yes,11.5,69.0
Yes,23.2,50.0
No,25.5,72.0
Yes,20.2,69.0
No,30.0,72.0
No,21.2,45.0
No,27.9,70.0
Yes,22.9,67.0
No,39.2,22.0
No,24.5,45.0
No,33.5,28.0
No,23.4,55.0
No,37.6,13.0
No,30.4,61.0
No,26.4,47.0
No,25.2,49.0
No,24.0,58.0
Yes,13.2,68.0
No,23.5,23.0
